execution,epoch,train_loss,val_loss,val_acc,time,zero_relu_call,total_relu_call
1,1,1.965301803977818,0.8567550877730051,0.6824444444444444,13.0980863571167,0,0
1,2,0.7588865391779563,0.6785008443726434,0.7478333333333333,14.40992259979248,0,0
1,3,0.6220796798715497,0.56249514553282,0.7901111111111111,12.843931913375854,0,0
1,4,0.5378652410546243,0.5089258137676451,0.8065,12.746390581130981,0,0
1,5,0.47777718670456265,0.46241488721635604,0.8323333333333334,13.534083843231201,0,0
1,6,0.43546504374119677,0.4197862760888206,0.8487777777777777,12.831845760345459,0,0
1,7,0.40619915366025255,0.394133534696367,0.859,12.858575820922852,0,0
1,8,0.3847896188599684,0.3953755547602971,0.8572222222222222,13.950988292694092,0,0
1,9,0.3658054275814123,0.3691163725323147,0.8662777777777778,14.01557469367981,0,0
1,10,0.35188328764158083,0.35999803576204514,0.8700555555555556,13.92064094543457,0,0
1,11,0.33536079190586326,0.34985322919156814,0.8737777777777778,12.75209379196167,0,0
1,12,0.32633539810719964,0.3496706717544132,0.8734444444444445,12.834755420684814,0,0
1,13,0.31742111464958106,0.33207081423865425,0.8812777777777778,13.987192869186401,0,0
1,14,0.3068416059351975,0.3258246150281694,0.8838888888888888,12.91154432296753,0,0
1,15,0.2989929191858961,0.32247402105066514,0.8831666666666667,12.75392770767212,0,0
1,16,0.2897673836070122,0.3304430345694224,0.8807777777777778,13.627108097076416,0,0
1,17,0.2839350384707589,0.31564346452554065,0.8863888888888889,12.83572006225586,0,0
1,18,0.2772471642735934,0.3257400476270252,0.8830555555555556,12.808106184005737,0,0
1,19,0.26990505168037116,0.31866492993301815,0.8831111111111111,13.714860200881958,0,0
1,20,0.26402155960493656,0.3170068214337031,0.8837777777777778,13.182443857192993,0,0
1,21,0.25813289733159567,0.30377262499597335,0.8880555555555556,13.985254526138306,0,0
1,22,0.2526675236027657,0.2918928662935893,0.8925,13.928797006607056,0,0
1,23,0.24594125911445902,0.31479375229941475,0.8897777777777778,13.936501264572144,0,0
1,24,0.24261307883766528,0.29607952965630424,0.8929444444444444,14.014095067977905,0,0
1,25,0.2367158455636582,0.29401712947421604,0.8931666666666667,14.214067220687866,0,0
1,26,0.23463564283822388,0.29419319083293277,0.8943888888888889,13.920243501663208,0,0
1,27,0.22901686907143695,0.2906060558226373,0.8948888888888888,13.99698519706726,0,0
1,28,0.2228678810677611,0.2907915413379669,0.8956111111111111,14.008575677871704,0,0
1,29,0.2199583040977355,0.30396634505854714,0.8883333333333333,14.021870613098145,0,0
1,30,0.21269222077830593,0.2833821003635724,0.9000555555555556,14.060999155044556,0,0
1,31,0.2089473293173522,0.2782198356257545,0.9033333333333333,13.949866533279419,0,0
1,32,0.20666108016628326,0.2798902905649609,0.9021111111111111,13.916016101837158,0,0
1,33,0.20070235015468363,0.2854561143451267,0.8989444444444444,13.580141305923462,0,0
1,34,0.19912064403454402,0.28733375171820325,0.8986111111111111,13.227836608886719,0,0
1,35,0.19415584666638863,0.298893541097641,0.8961666666666667,13.216894626617432,0,0
1,36,0.1907492606785015,0.27968807849619126,0.9007222222222222,14.024982690811157,0,0
1,37,0.18416934005734537,0.2771185065309207,0.9033888888888889,13.106526374816895,0,0
1,38,0.18442540094738732,0.31586551500691307,0.8923888888888889,12.77129578590393,0,0
1,39,0.17969378847444412,0.292445527182685,0.8982222222222223,12.851210594177246,0,0
1,40,0.1746337503302624,0.30208764804734123,0.8952777777777777,12.793472528457642,0,0
1,41,0.1722258378007511,0.27983493937386406,0.9038333333333334,12.730398178100586,0,0
1,42,0.169377342782211,0.2818957385089662,0.9041111111111111,12.773959159851074,0,0
1,43,0.16872846850059978,0.32132114304436576,0.8886111111111111,12.81241250038147,0,0
1,44,0.16022980352970065,0.2985868685775333,0.9002222222222223,12.794745922088623,0,0
1,45,0.15826744940529117,0.29570487638314563,0.9010555555555556,12.762456178665161,0,0
1,46,0.1566829732729169,0.29057855821318096,0.9015,12.800058841705322,0,0
1,47,0.1515223212761454,0.2982443653874927,0.9023333333333333,13.546804189682007,0,0
1,48,0.14863065732657194,0.31613895297050476,0.8967222222222222,12.90287160873413,0,0
1,49,0.14831623137465366,0.29570094909932876,0.9023888888888889,13.012428045272827,0,0
1,50,0.14124538421241448,0.3073732869492637,0.8962777777777777,12.974923849105835,0,0
1,-1,,0.3011713847517967,0.896,1.7190780639648438,0,0
2,1,2.1011947057034708,1.022461884551578,0.6178333333333333,12.88625955581665,0,0
2,2,0.7937605887401766,0.722672720750173,0.7177777777777777,12.748121976852417,0,0
2,3,0.6515754661256815,0.6350012189812131,0.7678888888888888,13.598046064376831,0,0
2,4,0.5690132293506878,0.5263042814201779,0.8075,14.032637119293213,0,0
2,5,0.5026982126009891,0.4948834495411979,0.8227777777777778,14.709389925003052,0,0
2,6,0.458552499984796,0.43984806372059715,0.8438888888888889,14.77620530128479,0,0
2,7,0.42411718210552996,0.40759459137916565,0.853,14.732952356338501,0,0
2,8,0.3956018229272651,0.3820621321598689,0.8646666666666667,14.666118144989014,0,0
2,9,0.3750528460914682,0.3823796676264869,0.8652222222222222,14.191877126693726,0,0
2,10,0.3581034316421009,0.35674915876653457,0.8702777777777778,13.05188250541687,0,0
2,11,0.3445518290381439,0.35928910970687866,0.8712222222222222,12.755873918533325,0,0
2,12,0.33121774046024294,0.35402291682031417,0.8735555555555555,12.821933269500732,0,0
2,13,0.3215414046707811,0.356432694527838,0.8711666666666666,12.809540271759033,0,0
2,14,0.3111527726360613,0.32638739546140033,0.8833333333333333,12.773759126663208,0,0
2,15,0.30158470783833774,0.3236691802740097,0.8855,12.869993448257446,0,0
2,16,0.29480619301844985,0.3197224024269316,0.8844444444444445,13.780492067337036,0,0
2,17,0.2887732042318887,0.31719739900694954,0.8848888888888888,13.87219524383545,0,0
2,18,0.2813391274824364,0.3228853709167904,0.8827777777777778,12.818378686904907,0,0
2,19,0.2760091142279223,0.3098854422569275,0.8878888888888888,12.73401927947998,0,0
2,20,0.26932437770119716,0.3031690584288703,0.892,13.046853303909302,0,0
2,21,0.2634537773716114,0.2959257380829917,0.891,12.792973279953003,0,0
2,22,0.2576383940523713,0.301230068008105,0.8891666666666667,13.6755850315094,0,0
2,23,0.25116205453498164,0.2867051081524955,0.896,12.751818180084229,0,0
2,24,0.24595634459382418,0.3221220076084137,0.8813333333333333,12.763074159622192,0,0
2,25,0.24245290006940046,0.31245895061228013,0.8876666666666667,13.615042924880981,0,0
2,26,0.23834878258316325,0.29145582185851204,0.8964444444444445,12.789929866790771,0,0
2,27,0.2330206545596121,0.2897164573272069,0.8970555555555556,12.773926734924316,0,0
2,28,0.22721451683209673,0.290744564599461,0.8951111111111111,12.756654262542725,0,0
2,29,0.22456909804934777,0.29468849632475114,0.8930555555555556,13.653627634048462,0,0
2,30,0.22077452367056738,0.29999085432953304,0.895,12.806233882904053,0,0
2,31,0.21699643469722735,0.2783980502022637,0.9008888888888889,13.563839673995972,0,0
2,32,0.21077417898767112,0.2739310347371631,0.9027222222222222,12.863614082336426,0,0
2,33,0.20731614125213002,0.28196098158756894,0.9013333333333333,13.43355655670166,0,0
2,34,0.20447796257523082,0.2848598327901628,0.9007777777777778,13.124047994613647,0,0
2,35,0.20052527055578406,0.28098831988043255,0.9018333333333334,12.947990417480469,0,0
2,36,0.19605883519588677,0.29958268917269176,0.8978888888888888,12.87887191772461,0,0
2,37,0.19381245898518368,0.2890098989009857,0.8979444444444444,12.867315530776978,0,0
2,38,0.1892470023995556,0.30136073132356006,0.8961111111111111,12.934347867965698,0,0
2,39,0.18575324814394967,0.27843187004327774,0.9042777777777777,12.858517169952393,0,0
2,40,0.18268972955025614,0.2829994683464368,0.9017777777777778,12.79691481590271,0,0
2,41,0.1812216103877035,0.28408414953284794,0.9019444444444444,13.215561628341675,0,0
2,42,0.17590799226134063,0.3157778994904624,0.8871666666666667,12.945443391799927,0,0
2,43,0.17440290982790307,0.2824687477615144,0.9045555555555556,14.053083658218384,0,0
2,44,0.17031241717527748,0.2861519911222988,0.9053333333333333,12.9729323387146,0,0
2,45,0.16869642157164336,0.29822306831677753,0.9008888888888889,12.901479244232178,0,0
2,46,0.16492151958273507,0.294950057235029,0.9006111111111111,13.463604927062988,0,0
2,47,0.16013523113828007,0.2832145657804277,0.9077777777777778,13.226259231567383,0,0
2,48,0.15814027956120177,0.2880387943651941,0.9045555555555556,12.931068420410156,0,0
2,49,0.15587649712202856,0.28450437386830646,0.9047777777777778,12.871957778930664,0,0
2,50,0.1543622706589053,0.3039369301663505,0.9013333333333333,12.941756010055542,0,0
2,-1,,0.2968090265989304,0.8958,1.7303059101104736,0,0
3,1,1.8514272796453997,0.8278507126702203,0.6783333333333333,12.905235052108765,0,0
3,2,0.7300399251435425,0.626449873050054,0.7671111111111111,12.918561935424805,0,0
3,3,0.6025904607700194,0.5463314089510176,0.7957222222222222,12.964574098587036,0,0
3,4,0.5277923469269267,0.49083636535538566,0.8218333333333333,13.680639505386353,0,0
3,5,0.4777858710570455,0.4612508498960071,0.8351111111111111,12.787225008010864,0,0
3,6,0.43938133690253706,0.4453539682759179,0.8365555555555556,13.004099607467651,0,0
3,7,0.41014519986971043,0.40373606483141583,0.8548333333333333,13.113093614578247,0,0
3,8,0.385938389205515,0.4184417840507295,0.8495,12.873490571975708,0,0
3,9,0.36489114089268176,0.3742801464266247,0.8670555555555556,13.967180252075195,0,0
3,10,0.34737386403538667,0.3582435730430815,0.8696111111111111,12.87235975265503,0,0
3,11,0.33430619130970773,0.34130122595363194,0.878,12.85002589225769,0,0
3,12,0.3247932678532573,0.3505978170368407,0.8717222222222222,12.765286445617676,0,0
3,13,0.31576036112858247,0.34291308952702415,0.8757777777777778,12.805480241775513,0,0
3,14,0.3061076558485162,0.3226756552855174,0.8855555555555555,12.80014944076538,0,0
3,15,0.29772897570848644,0.31605243186155957,0.8876666666666667,12.828186273574829,0,0
3,16,0.2899795286470892,0.32656963500711655,0.8825555555555555,12.844945669174194,0,0
3,17,0.2844211441171778,0.31561794214778477,0.8864444444444445,14.013424634933472,0,0
3,18,0.27707178963054613,0.3218633002705044,0.8868333333333334,14.191830396652222,0,0
3,19,0.26893123233888044,0.3139795892768436,0.8906111111111111,12.86365532875061,0,0
3,20,0.2636328276221251,0.3017926298909717,0.8939444444444444,12.916057586669922,0,0
3,21,0.2585282539927542,0.31569397615061867,0.8862777777777778,12.929962396621704,0,0
3,22,0.25509116541727617,0.3215917812453376,0.8868333333333334,12.997253179550171,0,0
3,23,0.24928502872393318,0.30683552390999264,0.8927222222222222,12.970158338546753,0,0
3,24,0.2434888905352613,0.2982370787196689,0.8924444444444445,12.94316029548645,0,0
3,25,0.23966461129242558,0.3168911304738786,0.8875,12.92625117301941,0,0
3,26,0.23438616387080755,0.29725059784120983,0.8936666666666667,12.859990358352661,0,0
3,27,0.2299570603280556,0.29762522379557294,0.8960555555555556,12.9887535572052,0,0
3,28,0.2278445928817883,0.28531448046366376,0.9006111111111111,12.877844333648682,0,0
3,29,0.22367124084840045,0.29650069276491803,0.898,12.892814636230469,0,0
3,30,0.21822201985417547,0.30642881989479065,0.8939444444444444,13.315521955490112,0,0
3,31,0.21549274947746783,0.31373582780361176,0.8948333333333334,12.959179162979126,0,0
3,32,0.21188367369406702,0.30576661974191666,0.8947222222222222,12.96384072303772,0,0
3,33,0.20737428576185427,0.29221477607886,0.8991666666666667,12.970331192016602,0,0
3,34,0.20178660628813555,0.28579850494861603,0.9,12.936004400253296,0,0
3,35,0.19946138586590786,0.2805338617828157,0.9055,12.907263278961182,0,0
3,36,0.1943470556714543,0.2913845140073035,0.8988888888888888,13.009536027908325,0,0
3,37,0.19395588469739097,0.30652468734317356,0.8956666666666667,12.922192573547363,0,0
3,38,0.18895495132672951,0.29167333162493175,0.9037222222222222,12.942976474761963,0,0
3,39,0.18474799933966024,0.3011855458219846,0.8951666666666667,14.011984825134277,0,0
3,40,0.18456811599166723,0.30630985895792645,0.8972777777777777,14.031142473220825,0,0
3,41,0.18197604416822058,0.3031092451678382,0.8990555555555556,13.130406379699707,0,0
3,42,0.17790911524639566,0.2882397381795777,0.8996111111111111,12.940223932266235,0,0
3,43,0.172619649048069,0.29759296029806137,0.9007777777777778,12.878645181655884,0,0
3,44,0.1698981856321526,0.2968742888834741,0.9003888888888889,12.870720386505127,0,0
3,45,0.16753248890339817,0.30349741876125336,0.9007222222222222,12.85670804977417,0,0
3,46,0.1646704302963454,0.3032376103931003,0.9011111111111111,12.816845655441284,0,0
3,47,0.16110184534132957,0.2878608885738585,0.9057222222222222,12.84209680557251,0,0
3,48,0.15779468373119582,0.2925431984994147,0.9030555555555555,12.822750568389893,0,0
3,49,0.15131898497792368,0.3155314384235276,0.9009444444444444,13.012619733810425,0,0
3,50,0.15164052411241447,0.2919362717204624,0.9057777777777778,12.911368131637573,0,0
3,-1,,0.29344853609800337,0.9022,1.72776460647583,0,0
4,1,1.8191730715079064,0.8250460426012675,0.6871111111111111,12.887393236160278,0,0
4,2,0.7317197463572344,0.6546081403891245,0.7546666666666667,12.932737588882446,0,0
4,3,0.6109635647207566,0.5768329070674049,0.7880555555555555,13.153712034225464,0,0
4,4,0.533237273689226,0.4948956039216783,0.8168888888888889,13.850014686584473,0,0
4,5,0.4799840710291133,0.4605712311135398,0.837,12.940201759338379,0,0
4,6,0.44092273027816986,0.43780041899946,0.8408333333333333,13.984262704849243,0,0
4,7,0.41146589255546306,0.4165830827421612,0.8497222222222223,12.961511850357056,0,0
4,8,0.38897573802640034,0.3871799425946342,0.8593333333333333,13.731640100479126,0,0
4,9,0.37030101116953784,0.3956099682384067,0.8567222222222223,12.965125560760498,0,0
4,10,0.35567320567773486,0.36667293310165405,0.8673333333333333,12.932264566421509,0,0
4,11,0.34443647917771464,0.3594931165377299,0.8688888888888889,13.004387855529785,0,0
4,12,0.3316113830026968,0.3567075232664744,0.8731666666666666,14.086660385131836,0,0
4,13,0.3211093414872771,0.33193772037823993,0.8818888888888889,12.982490539550781,0,0
4,14,0.31312222256178357,0.3433345738384459,0.8771666666666667,12.955989122390747,0,0
4,15,0.3059516163359865,0.33992087013191646,0.8790555555555556,13.267197132110596,0,0
4,16,0.29756933875433017,0.3258715586529838,0.8831666666666667,13.095223903656006,0,0
4,17,0.2894784871230621,0.3231033997403251,0.8853888888888889,14.043368577957153,0,0
4,18,0.2825712333692228,0.32463133169545066,0.8826666666666667,12.90310788154602,0,0
4,19,0.2760464696941354,0.3219939089483685,0.8875,12.96744704246521,0,0
4,20,0.27154148012819584,0.2979155348406898,0.8945555555555555,12.954753875732422,0,0
4,21,0.2667942857008033,0.3054070058796141,0.8896111111111111,12.893889427185059,0,0
4,22,0.2621112157252347,0.2960355993774202,0.8942222222222223,12.976165771484375,0,0
4,23,0.2549319979163725,0.297495918141471,0.893,12.977680683135986,0,0
4,24,0.25357700054876375,0.29646898640526664,0.8932777777777777,12.959469079971313,0,0
4,25,0.2452353205438207,0.28605059534311295,0.8986111111111111,13.386104106903076,0,0
4,26,0.2416355901859525,0.31012840072313946,0.8907777777777778,12.751752853393555,0,0
4,27,0.23859555914328467,0.2872048815091451,0.8951111111111111,12.977853059768677,0,0
4,28,0.23247373208363867,0.29979435602823895,0.8909444444444444,12.792751550674438,0,0
