execution,epoch,train_loss,val_loss,val_acc,time,zero_relu_call,total_relu_call
1,1,2.139595938337185,1.0281595157252417,0.6086666666666667,14.005272388458252,0,0
1,2,0.7721450380805059,0.713784760899014,0.7127222222222223,14.062046527862549,0,0
1,3,0.6163226907047169,0.5734902454747094,0.7742222222222223,14.121227741241455,0,0
1,4,0.5369520231071357,0.49870749314626056,0.8168888888888889,14.019866943359375,0,0
1,5,0.4842237382673255,0.45993711551030475,0.8326111111111111,14.040338277816772,0,0
1,6,0.4401332064725385,0.45672689709398484,0.8292222222222222,14.092186689376831,0,0
1,7,0.40948891950103045,0.4091957476403978,0.8516666666666667,14.131259202957153,0,0
1,8,0.3825615070879414,0.37910883625348407,0.8618888888888889,14.008136510848999,0,0
1,9,0.3616227870927634,0.3502681967284944,0.8731666666666666,14.042244911193848,0,0
1,10,0.3446169973458167,0.35402346981896293,0.8727777777777778,14.05206561088562,0,0
1,11,0.3305005422777015,0.3383934862083859,0.8755,14.398014307022095,0,0
1,12,0.3197682807101426,0.3417103671365314,0.8752222222222222,14.07689094543457,0,0
1,13,0.31088605464662383,0.3294755087958442,0.8787777777777778,14.074648380279541,0,0
1,14,0.29940650856685563,0.3234136518504884,0.8827222222222222,14.07378339767456,0,0
1,15,0.29143711420092433,0.3135472387075424,0.8856666666666667,14.161963701248169,0,0
1,16,0.2837115896401837,0.30418788890043896,0.8898888888888888,14.057434320449829,0,0
1,17,0.27584683096429274,0.3113013075457679,0.8868888888888888,14.088927268981934,0,0
1,18,0.2684712431252411,0.306293989221255,0.8884444444444445,14.09920358657837,0,0
1,19,0.2588919525723465,0.3208768169085185,0.8809444444444444,14.045182704925537,0,0
1,20,0.2546091133108687,0.28818008055289585,0.8965555555555556,14.075037479400635,0,0
1,21,0.24690377292409824,0.29907484435372883,0.8907222222222222,14.072828531265259,0,0
1,22,0.24323778059574727,0.30635829435454476,0.8885,14.141980171203613,0,0
1,23,0.2367314873752663,0.3036557253864076,0.8897777777777778,14.326291561126709,0,0
1,24,0.23109871851704497,0.28382423520088196,0.8973333333333333,14.075618982315063,0,0
1,25,0.2243857742680885,0.28982077373398674,0.8971111111111111,14.080287456512451,0,0
